admissions_diabetes_persons_hospitals_201718_asr_per_100000, admssns_gntrnry_systm_dsss_prsns_hsptls_201718_asr_pr_100000, admissions_cancers_persons_all_hospitals_201718_asr_per_100000, admsn_msclkt_sytm_cntve_tse_ds_prsn_hsptl_201718_nmbr, admssns_mntl_hlth_rltd_cndtns_prsns_hsptls_201718_nmbr, admissions_for_diabetes_persons_all_hospitals_201718_sr, admsn_msclkt_sytm_cntve_tse_ds_prsn_hsptl_201718_sr, admssns_gntrnry_systm_dsss_prsns_hsptls_201718_sr, admssns_rsprtry_systm_dsss_prsns_hsptls_201718_sr, admssns_infcts_prstc_dsss_prsns_hsptls_201718_asr_pr_100000, admissions_nervous_system_diseases_persons_hospitals_201718_sr, admssns_dgstve_systm_dsss_prsns_hsptls_201718_nmbr, admissions_for_asthma_persons_all_hospitals_201718_sr, admissions_for_all_cancers_persons_all_hospitals_201718_number, admssns_md_affctve_dsrdrs_prsns_hsptls_201718_nmbr, admssns_endcrne_ntrtnl_mtblc_dsss_prsns_hsptls_201718_sr, admssns_chrnc_kdny_dsse_prsns_hsptls_201718_nmbr, admssns_dgstve_systm_dsss_prsns_hsptls_201718_sr, admsn_cngtl_mlfrtns_dfrmtns_chrmsl_abnrmlts_prsn_hsptl_201718_n, admissions_for_stroke_persons_all_hospitals_201718_sr, admsn_msclkt_sytm_cntve_tse_ds_prsn_hsptl_201718_asr_pr_100000, admssns_eye_adnxa_dsss_prsns_hsptls_201718_asr_pr_100000, admssns_rsprtry_systm_dsss_prsns_hsptls_201718_asr_pr_100000, admissions_heart_failure_persons_hospitals_201718_number, admssns_chrnc_obstrctve_plmnry_dsse_cpd_prsns_hsptls_201718_sr, admssns_md_affctve_dsrdrs_prsns_hsptls_201718_asr_pr_100000, admsn_cngtl_mlfrtns_dfrmtns_chrmsl_abnrmlts_prsn_hsptl_201718_a, admissions_eye_adnexa_diseases_persons_hospitals_201718_number, lga_code, admissions_stroke_persons_hospitals_201718_asr_per_100000, admssns_dgstve_systm_dsss_prsns_hsptls_201718_asr_pr_100000, admissions_for_heart_failure_persons_all_hospitals_201718_sr, admsn_cngtl_mlfrtns_dfrmtns_chrmsl_abnrmlts_prsn_hsptl_201718_s, admssns_hrt_flre_prsns_hsptls_201718_asr_pr_100000, admssns_skn_sbctns_tsse_dsss_prsns_hsptls_201718_asr_pr_100000, admssns_rsprtry_systm_dsss_prsns_hsptls_201718_nmbr, admssns_endcrne_ntrtnl_mtblc_dsss_prsns_hsptls_201718_nmbr, admissions_mood_affective_disorders_persons_hospitals_201718_sr, admissions_for_all_cancers_persons_all_hospitals_201718_sr, admssns_skn_sbctns_tsse_dsss_prsns_hsptls_201718_nmbr, admssns_er_mstd_prcss_dsss_prsns_hsptls_201718_nmbr, admssns_ischmc_hrt_dsse_prsns_hsptls_201718_asr_pr_100000, admssns_infcts_prstc_dsss_prsns_hsptls_201718_nmbr, admsn_chrn_obstrcve_plmnry_dse_cpd_prsn_hsptl_201718_nmbr, admssns_gntrnry_systm_dsss_prsns_hsptls_201718_nmbr, admsn_endcr_ntrl_mtblc_ds_prsn_hsptl_201718_asr_pr_100000, admssns_chrnc_kdny_dsse_prsns_hsptls_201718_asr_pr_100000, admssns_skn_sbctns_tsse_dsss_prsns_hsptls_201718_sr, admssns_crcltry_systm_dsss_prsns_hsptls_201718_asr_pr_100000, admssns_er_mstd_prcss_dsss_prsns_hsptls_201718_sr, admssns_infcts_prstc_dsss_prsns_hsptls_201718_sr, admissions_for_asthma_persons_all_hospitals_201718_number, admssns_nrvs_systm_dsss_prsns_hsptls_201718_asr_pr_100000, admissions_ischaemic_heart_disease_persons_hospitals_201718_sr, admissions_chronic_kidney_disease_persons_hospitals_201718_sr, admssns_nrvs_systm_dsss_prsns_hsptls_201718_nmbr, admssns_er_mstd_prcss_dsss_prsns_hsptls_201718_asr_pr_100000, admssns_crcltry_systm_dsss_prsns_hsptls_201718_nmbr, admsn_chrn_obstrcve_plmnry_dse_cpd_prsn_pblc_hsptl_201718_sr, admssns_mntl_hlth_rltd_cndtns_prsns_hsptls_201718_sr, admssns_mntl_hlth_rltd_cndtns_prsns_hsptls_201718_asr_pr_100000, admissions_for_diabetes_persons_all_hospitals_201718_number, admissions_for_stroke_persons_all_hospitals_201718_number, admssns_ischmc_hrt_dsse_prsns_hsptls_201718_nmbr, admissions_eye_adnexa_diseases_persons_hospitals_201718_sr, admssns_crcltry_systm_dsss_prsns_hsptls_201718_sr
null,1802.32915813597,2852.46184105566,411.941710777619,148.483313132799,null,74.5741386404578,91.8482105794683,102.309773085904,731.215503527207,75.1030153125642,647.134915435422,null,497.794164826974,67.5630692834444,106.729801927776,null,103.399836351507,25.0717726555209,null,2427.63269822959,1082.39656374136,1960.91254974695,null,null,488.119348967193,233.541923513027,199.128527823388,20110,null,4376.63833031211,null,154.848164720958,null,716.85889851656,289.359433141573,125.394077284748,89.8983773592162,105.683113636268,104.219944918512,27.2998139659107,678.626634514301,105.541092035719,null,264.230943982481,831.744303341505,null,107.559936918961,2434.45183052272,76.6373049702117,102.388676470211,null,969.77138427067,108.322398633702,null,146.058631008774,210.388186912955,435.132018143529,121.355463521826,67.6635116331045,1135.8318495952,null,null,124.587492236045,64.8403898379207,106.783985388741
null,2032.83727024737,3156.09926217891,442.024080791696,122.379892776122,null,90.8409602074295,103.595097947911,107.78647924733,675.754759585866,108.824137048914,574.276527664664,null,484.986476283069,null,157.514369167188,null,101.850526665314,null,null,2957.17106973715,1473.37437306611,2065.88142534203,30.3906646011573,null,null,null,239.86262918367,20260,null,4311.0601979148,71.2155073969131,null,180.91040584365,653.334249845555,280.37256158871,167.066607803792,null,116.932816478539,86.5934093691,28.1609719457574,664.333597571411,90.0763247016191,null,270.836592447939,1227.50793951529,null,98.0284834934796,2196.65662061437,84.9759816995585,94.6227686895156,null,1405.19702955696,106.040943756055,null,190.595833607304,233.279898449816,348.8176275845,123.203907439099,59.8916883398159,1005.37033181574,null,null,106.737045077535,88.2617073326527,96.3534153926554
219.094164240603,2366.43065609977,4067.66836126899,3256.05277715793,1292.85160257945,114.416856304391,91.1394415636828,120.595297613646,119.724624605677,833.039842913485,167.968185136783,4897.44417404642,119.314095277827,4494.44011861195,455.985746230576,150.377948916573,245.972576409445,107.504488200623,232.444968179695,85.1148716054081,2966.88761643098,1383.79449139667,2294.69298798942,301.635338179026,130.486393153119,432.489788985772,214.015487103537,1564.41875876369,20570,218.763845697676,4550.37725727092,103.916446055676,141.901312198432,263.981359073728,756.157385039588,2533.52427666358,1259.39661032792,79.6529175426395,150.706260631185,816.534062767165,422.358967736605,726.574484125778,910.30717508417,437.974599922303,2524.50672920825,1171.89388624724,226.832548577987,113.456414929033,2503.14863010645,140.700920335433,116.646661006813,192.014022287621,2168.89746351209,115.975835464929,107.332769356798,2338.85036924287,386.258513890356,2798.52763248459,116.618957264307,73.2514131955422,1229.63301973598,240.639258592018,246.290992781491,811.874244932996,82.895472217304,109.797278956939
295.368208286626,2401.65607802588,3568.14403201792,3948.0,2094.0,154.249210432202,89.0458363265057,122.390414757602,100.232651539835,875.202286352137,142.215404979734,7841.0,127.872944564699,4909.0,657.0,133.839024509146,277.0,139.555611499511,237.0,98.2097184354838,2898.73390223979,1643.1421199454,1921.10155628871,469.0,78.4756236128917,500.86295994828,183.199576830178,2314.0,20660,252.420467593906,5907.01552391772,127.474443664512,121.469061413408,323.826287012316,721.970889437638,2606.0,1399.0,92.2454057065269,132.198988879993,963.0,402.0,540.397437620132,1179.0,329.0,3214.0,1043.00620997681,206.206340621306,108.326957349536,2516.75673049661,110.212826885612,122.550470156934,248.0,1836.36342133308,86.2582511227469,97.5728471798505,2465.0,302.561224354486,3519.0,62.5873516406546,95.3382835612915,1600.39371798837,400.0,357.0,751.0,98.4315538180383,110.394180146362
179.673971217916,2226.8486880823,3383.86567199964,1259.76872324545,543.581631044704,93.830572885107,79.1542909327531,113.482083063634,102.62426194684,645.726524239925,112.388096489436,2169.21109099024,null,1718.86870478485,176.326495593623,75.4066464124883,79.2809548882242,123.878256135227,60.2384113370955,null,2576.73167101498,1455.05191455669,1966.94017678163,137.700701735722,null,468.216368216062,191.720330371712,805.279406820268,20740,null,5243.43503069531,96.6780619342995,127.11868109667,245.593523938998,755.236339351875,854.798855893528,249.21841807326,86.2327868065692,125.371514246604,309.805073727088,114.35695041899,693.754548885495,272.290762736606,null,915.879449995785,587.643258535382,180.969918998239,113.318218114744,2232.76684059008,109.506144608157,90.418055771127,null,1451.21683136832,110.737116665195,85.6314611731228,618.81709369809,300.621208286133,1178.1466373559,131.112573240528,90.914554826324,1526.13490596586,83.601539021247,null,373.847266186362,87.1641102112854,97.9373420713122
899.424340485633,2179.55216251093,2955.12193901981,1578.8355814172,863.68424038002,469.70354449516,82.8427866757631,111.071812319943,96.2611668622946,574.734146574422,93.3072733270155,1987.58723245145,null,1759.02675386253,434.967011505578,172.113893638488,76.801108255723,86.1199945073816,71.9035813933212,71.541016850947,2696.80429989485,1763.82431007809,1844.98239474216,127.8921419905,84.4925955734271,836.85489109873,138.87092486516,1086.84305191659,20830,183.876068614559,3645.22887334125,82.3635782310897,92.077291841234,209.230108850808,848.569972750962,1035.83357539603,735.230600253495,154.126028714252,109.486648759122,459.76340193906,177.495671174983,520.326517270165,316.416072263133,154.895381867666,1174.1257225541,1341.28189103743,137.711389530093,127.322312562895,2043.36182961597,118.135012746111,80.4773261865089,null,1204.8347624962,83.0545303659712,65.1623627336521,666.766521085772,324.309566369197,1231.12694025492,76.9378184881496,101.76573901822,1708.28803862931,515.648032635985,111.680138753718,318.667428972085,105.660956161713,89.6293436665665
120.70487658256,2212.25053233182,3604.1037734475,3368.0,2125.0,63.0353280611321,86.4372866087228,112.738148762072,96.3928896219422,853.936577023967,118.718733700463,6107.0,87.0878773052342,4395.0,446.0,120.039002303462,201.0,128.235714585393,157.0,85.7898905798816,2813.81705699967,1420.66091160663,1847.50704908054,316.0,66.5053698386012,410.921130189131,161.341082603461,1793.0,20910,220.498792176352,5427.87458445736,94.5428569236769,106.975956005795,240.169413107656,787.124740073297,2099.0,1069.0,75.6805541611524,133.531289766594,885.0,356.0,455.404316214374,950.0,252.0,2487.0,935.462771797001,175.129541721319,118.102861755411,2134.60833990021,121.854742592076,119.572732647528,135.0,1532.96149615844,72.6916471761947,82.8679077450536,1745.0,334.521136549055,2674.0,41.3534523620539,119.292511456792,2002.50076681703,143.0,281.0,571.0,85.1039354907641,93.6317502448364
null,1737.41210239379,2971.97406593331,483.489420384744,144.953803986805,null,77.5918608964608,88.5399827903924,136.363258046099,null,96.9044898652202,792.513487779385,null,590.41988401794,28.0814488906187,199.811115005246,null,113.756409144176,21.6861169613403,null,2525.86945102895,1002.41287580176,2613.59610095564,null,null,185.681284381352,174.758427246447,216.523703874125,21010,null,4815.00433798133,null,115.872222518215,null,1010.74574220189,450.989056864228,262.384146446496,34.197468728044,110.111016530841,165.953803986805,38.290785032062,626.111488015129,null,null,283.3379504333,1557.1260664607,null,151.655714251878,2541.80475415067,93.866483653296,null,null,1251.2839982194,99.9399297707436,null,210.523703874125,257.68650548695,528.884752314023,186.910749287039,59.8400562840592,1004.50361160017,null,null,131.94213381,60.0490095985454,111.492878324883
110.249110705619,1922.32584970648,3355.90067057493,4400.0,4836.0,57.5750463323108,74.3222609555896,97.9633429605069,79.0193135578592,650.265927891682,129.844934573744,9044.0,91.6202781705276,6100.0,2168.0,94.9514223895045,226.0,117.048303165666,251.0,75.9634697051876,2419.43325382584,2063.68095008168,1514.51771374658,394.0,37.6297776187486,1184.01141852467,156.489144490724,3788.0,21110,195.242740214506,4954.34140138637,82.0782055649387,103.758915995182,208.505170045524,552.947577894539,2677.0,1347.0,218.062868282866,124.335416802331,1011.0,454.0,409.594112390557,1152.0,206.0,3485.0,739.955506711105,124.35230819697,82.9661272544766,1883.16980759644,99.9489223571463,91.0536871679251,229.0,1676.62911293321,65.3794214135761,58.8411041464888,2998.0,274.384290611435,3468.0,18.1144653249147,156.575822459732,2628.35613662293,203.0,362.0,748.0,123.623708524966,82.6027340930043
222.070807437481,2004.73954314391,2100.14287507903,3825.9637014,2176.983004,115.971339319066,60.8692137317,102.163214130156,87.7832828017958,803.910637685182,105.125957535572,9279.9340798,133.831470656344,3990.9621232,707.9928374,82.5206028093619,514.9983004,109.096661055508,311.9989074,95.9128304926922,1981.49246192478,1543.84774471404,1682.49166929041,574.994537,88.1122422904263,344.469154726365,145.711285073089,2819.9746274,21180,246.516962953363,4617.76967287864,130.244891506924,96.6127397312522,330.864119948699,557.175205817245,3302.9779052,1275.9906522,63.4418982278089,77.8098535534609,1113.9944156,432.998179,675.712123437682,1597.9917448,473.995144,4008.9723208,643.082251210769,260.418925542536,83.600454865704,2229.53382951698,77.1731810054606,112.567835058009,409.9976934,1357.44410444458,107.857184310233,123.225192533567,2696.9809402,211.859297979686,4121.9671006,87.7074420378591,62.7822044956328,1053.89190913719,430.9983004,446.9984218,1259.9904094,92.4833771382638,97.79553034891
