dths_cncr_0_74_yrs_2014_to_2018_avrge_annl_asr_pr_100000, deaths_from_cancer_0_to_74_years_2014_to_2018_sdr, dths_chrn_obstrcve_plmnry_dse_0_74_yrs_2014_to_2018_avrge_anl_a, dths_chrnc_obstrctve_plmnry_dsse_0_74_yrs_2014_to_2018_sdr, deaths_from_diabetes_0_to_74_years_2014_to_2018_number, dths_chrnc_obstrctve_plmnry_dsse_0_74_yrs_2014_to_2018_nmbr, dths_brst_cnr_fmls_0_74_yrs_2014_to_2018_avrge_anl_asr_pr_10000, dths_rspty_sytm_ds_0_74_yrs_2014_to_2018_avrge_anl_asr_pr_10000, dths_rsprtry_systm_dsss_0_74_yrs_2014_to_2018_nmbr, deaths_cerebrovascular_diseases_0_74_years_2014_to_2018_sdr, dths_dbts_0_74_yrs_2014_to_2018_avrge_annl_asr_pr_100000, deaths_from_cancer_0_to_74_years_2014_to_2018_number, dths_crcltry_systm_dsss_0_74_yrs_2014_to_2018_nmbr, dths_crbvsl_ds_0_74_yrs_2014_to_2018_avrge_anl_asr_pr_100000, deaths_cerebrovascular_diseases_0_74_years_2014_to_2018_number, deaths_respiratory_system_diseases_0_74_years_2014_to_2018_sdr, deaths_from_lung_cancer_0_to_74_years_2014_to_2018_sdr, deaths_breast_cancer_females_0_74_years_2014_to_2018_sdr, deaths_from_colorectal_cancer_0_to_74_years_2014_to_2018_sdr, deaths_breast_cancer_females_0_74_years_2014_to_2018_number, dths_ischm_hrt_dse_0_74_yrs_2014_to_2018_avrge_anl_asr_pr_10000, deaths_circulatory_system_diseases_0_74_years_2014_to_2018_sdr, lga_code, deaths_ischaemic_heart_disease_0_74_years_2014_to_2018_number, deaths_from_diabetes_0_to_74_years_2014_to_2018_sdr, deaths_from_lung_cancer_0_to_74_years_2014_to_2018_number, dths_clrctl_cncr_0_74_yrs_2014_to_2018_avrge_annl_asr_pr_100000, dths_crlty_sytm_ds_0_74_yrs_2014_to_2018_avrge_anl_asr_pr_10000, dths_lng_cncr_0_74_yrs_2014_to_2018_avrge_annl_asr_pr_100000, deaths_ischaemic_heart_disease_0_74_years_2014_to_2018_sdr, deaths_from_colorectal_cancer_0_to_74_years_2014_to_2018_number
102.579653415293,104.20198329854,12.3045200209271,126.897921911912,null,11.0,null,19.593121753387,17.0,null,null,87.0,23.0,null,null,121.407931480357,67.7858459598842,null,94.9594240250535,null,16.552597669266,63.5617737696689,20110,14.0,null,12.0,8.359665546686,27.3890598245141,13.7305025527712,75.1812611573303,7.0
86.1841637380162,87.5471937311937,10.6277774057827,109.605483598098,9.0,8.0,15.7362241304862,20.4204121558293,15.0,122.549375605109,12.4906568592627,62.0,44.0,9.6920081667166,7.0,126.534200676163,60.2622849774916,102.256845531559,null,5.0,30.6751364394755,143.066896589776,20260,22.0,191.844421049807,9.0,null,61.6481818742889,12.2065520611626,139.325288379054,null
107.357793744197,109.055691438251,15.7746707274718,162.68598293605,28.0,80.0,22.5278099693164,26.9893586034676,136.0,106.314639153292,5.61270360907769,535.0,229.0,8.40805875858153,42.0,167.238393211237,110.111601263478,146.389805146067,142.025931769131,57.0,23.7383485667732,106.888777031389,20570,118.0,86.2057045149854,112.0,12.5031222623373,46.0588642363984,22.3038836622715,107.818665003621,62.0
84.4097013202533,85.7446676252511,6.20924895117699,64.0366944178218,20.0,39.0,13.9257374864947,11.1906454258034,70.0,81.0942740752785,3.21520570018522,524.0,205.0,6.41346692082849,40.0,69.3423503501705,73.6772864418432,90.491974139513,124.645664496638,44.0,15.6163955156563,76.5497043098654,20660,97.0,49.3824530653614,93.0,10.973066420047,32.9856186595638,14.923855492925,70.9290670296816,68.0
108.496746345413,110.212656937532,9.62782026920028,99.2928113103956,13.0,25.0,19.9425302383048,12.7913352881842,32.0,78.5054159686915,5.42251907035732,258.0,111.0,6.20872304687875,15.0,79.260955847512,103.761004369786,129.590187403093,58.3829916211541,22.0,26.2505840194559,109.285343258055,20740,62.0,83.2846537540418,52.0,5.13969296442923,47.0915556146068,21.0175253432788,119.229141681099,12.0
96.1987716652027,97.7201858717046,7.56625371320208,78.0316396926214,7.0,22.0,20.0344729769532,12.2722150030162,35.0,72.1617576039595,2.50682695549161,268.0,102.0,5.70702494866927,16.0,76.0442494540636,86.7867411773751,130.187648035692,74.1551837261616,27.0,18.7274567582414,85.4561551243324,20830,52.0,38.502439973099,50.0,6.52818338851982,36.8234491623044,17.5792682736135,85.0593873835386,18.0
70.9014676580177,72.0227969462145,3.11803196214513,32.1566201508221,18.0,17.0,13.3222753498361,6.47452693984159,35.0,62.9051042305824,3.33665053833792,383.0,117.0,4.9749481049624,27.0,40.1191261389537,53.5280049721881,86.5705674551168,80.2089716605726,37.0,9.76461656193339,50.2492936077077,20910,53.0,51.2477284409806,59.0,7.06112304081686,21.6526510689956,10.8424760140979,44.3505123795146,38.0
113.721874393967,115.520422050014,13.2518816297748,136.668170508154,6.0,13.0,22.8430219207904,17.8859875868503,17.0,122.769242241384,6.4879016266213,105.0,38.0,9.70939666195655,9.0,110.829748456366,113.799356386062,148.438109718009,74.8966354018181,10.0,13.073146603561,96.6681477125882,21010,12.0,99.6479004596352,22.0,6.59345640477024,41.6547481890519,23.0508645460772,59.3777284139091,6.0
67.7371037637004,68.8083876292788,2.13390311084324,22.0071867790718,10.0,17.0,11.1961847047263,4.26020971110557,34.0,48.7566824349735,1.24415533825077,545.0,164.0,3.85599813959452,31.0,26.398205207317,51.7096469496991,72.7548438812579,71.9245635698836,47.0,9.42384738858473,47.250940007595,21110,76.0,19.1090239089985,84.0,6.33181279487277,20.3606467516504,10.4741547352809,42.802751917514,51.0
92.8639647808402,94.3326379545619,6.80767537933502,70.208334597306,65.0,60.0,13.0837931219966,12.7292151155819,113.0,116.366501372084,7.26256836800246,833.0,426.0,9.20302593188775,82.0,78.8760308848758,97.5059313232956,85.0208665782107,104.736399198815,59.0,23.9954826345842,110.303925829817,21180,215.0,111.546033134427,176.0,9.22037256286731,47.5304675162051,19.7505160551829,108.986558037138,83.0
